Funcao,Localização,Skills Necessarias,Média Salarial,separação 1,separação 2,separação 3,separação 4,Cargo
"Rethink
3.9
Pessoa Desenvolvedora Frontend React Native Sr
Belo Horizonte",Belo Horizonte,"Descrição da vaga:
A Rethink
Nossa missão é ajudar empresas a manterem a relevância no mercado e a se prepararem para o futuro. Para isso, unimos code, design & strategy para criar e entregar experiências digitais que transformam negócios.
Por aqui, valorizamos a colaboração e a mentalidade empreendedora e nos dedicamos para fazer o melhor. Você terá a oportunidade de ser parte de uma comunidade colaborativa, compartilhar aprendizado, aprender com quem já sabe e #RepensarOFuturo.
Somos mais de 200 colaboradores espalhados pelo Brasil, mas conectados pelo #JeitoRethinker, afinal, nos orgulhamos muito da nossa cultura. Já impactamos positivamente grandes clientes, como Smiles, Comgás, Santander Esfera, Gol, GasBrasiliano e Abastece-aí.


Mostrar mais
Visão geral da empresa
Tamanho
201 a 500 funcionários
Fundação
2017
Tipo
Empresa – capital fechado
Indústria
Soluções de software e redes corporativas
Setor
Tecnologia da informação
Receita
Desconhecido/Não se aplica
Classificações da empresa Rethink
3,9
74 %
Recomendam para outras pessoas
Oportunidades de carreira
3,5
Remuneração e benefícios
3,7
Cultura e valores
4,0
Alta liderança
3,4
Qualidade de vida
3,9
Benefícios da empresa Rethink
4,0
3 classificações
Avaliações de benefícios de funcionários
Mais comentadas
Plano de Saúde(9 comentários)
""Plano de saúde é muito bom.""
Vale-Refeição(3 comentários)
""É bom e atende as despesas""
Vale-Alimentação(3 comentários)
""Da para usar em muitos lugares, boa abrangência""
1 de abr. de 2024
Atual Team Leader em Belo Horizonte, MG, Minas Gerais
Gympass, Caju e Bradesco Saúde
26 de mar. de 2024
Atual Vendedor Comercial em Belo Horizonte, MG, Minas Gerais
Não pagam benefícios, nem planos de saúde, nem nada.
16 de mar. de 2024
Ex-Funcionário em Belo Horizonte, MG, Minas Gerais
Oferecem plano de saúde. A jornada de trabalho é exaustiva.",NF,Rethink,3.9,Pessoa Desenvolvedora Frontend React Native Sr,Belo Horizonte,Pessoa Desenvolvedora Frontend React Native Sr
"W3K TECNOLOGIA
Desenvolvedor Front-End Sênior - (React)
Belo Horizonte",Belo Horizonte,NF,NF,W3K TECNOLOGIA,Desenvolvedor Front-End Sênior - (React),Belo Horizonte,,Desenvolvedor Front-End Sênior - (React)
"Ci&T
4.0
Mid Data Developer. Brazil
Belo Horizonte",Belo Horizonte,NF,NF,Ci&T,4,Mid Data Developer. Brazil,Belo Horizonte,Mid Data Developer. Brazil
"CLIK SOFTWARE LTDA
Desenvolvedor Full Stack (Node.js/Typescript/Angular)
Vitória",Vitória,"A Clik Softhouse está buscando um desenvolvedor full stack altamente qualificado para se juntar à nossa equipe remota. O candidato ideal terá experiência sólida em desenvolvimento backend com Node.js, Typescript, REDIS e sequelize, além de expertise em frontend com Angular 14+ e tailwindCss. Se você é apaixonado por tecnologia, tem habilidades excepcionais de resolução de problemas e deseja trabalhar em um ambiente dinâmico e colaborativo, esta pode ser a oportunidade perfeita para você.
Responsabilidades:
Desenvolver e manter aplicações web escaláveis e eficientes tanto no frontend quanto no backend.
Colaborar com equipes multifuncionais para entender requisitos e transformá-los em recursos técnicos.
Escrever código limpo, eficiente e documentado.
Resolver problemas complexos de maneira criativa e eficaz.
Participar de revisões de código para garantir a qualidade do código e a conformidade com os padrões da empresa.

Mostrar mais
Faixa de salário base
O salário mínimo é de R$ 2 mil e o salário máximo é de R$ 5 mil.
R$ 2 mil – R$ 5 mil/mês (est. Empresa)
R$ 3 mil
/mês (mediana)
Vitória
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.",R$ 2 mil – R$ 5 mil/mês (est. Empresa),CLIK SOFTWARE LTDA,Desenvolvedor Full Stack (Node.js/Typescript/Angular),Vitória,,Desenvolvedor Full Stack (Node.js/Typescript/Angular)
"mazzatech
3.9
18411: Analista Desenvolvedor Mobile Jr/Pl
Vitória",Vitória,"Experiência com análise e desenvolvimento de sistemas;

Vivência com a tecnologia React Native;

Perfil dinâmico e proativo.

100% Presencial
Mostrar mais
Visão geral da empresa
Tamanho
1.001 a 5.000 funcionários
Fundação
2008
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
De US$ 25 a US$ 100 milhões
Classificações da empresa mazzatech
3,9
97 %
Recomendam para outras pessoas
Oportunidades de carreira
3,5
Remuneração e benefícios
4,1
Cultura e valores
3,8
Alta liderança
3,8
Qualidade de vida
4,3
Benefícios da empresa mazzatech
3,7
3 classificações
Avaliações de benefícios de funcionários
Mais comentadas
Plano de Saúde(4 comentários)
""Poderia ter mais rede credenciada""
19 de mar. de 2024
Atual Funcionário em São Paulo, SP, São Paulo
Vantagem: Modelo Hibrido/Remoto. Desvantagem: Valor do VR.
6 de out. de 2023
Atual Analista em São Paulo, SP, São Paulo
Vale Transporte 6% desconto em Folha Vale Refeição 528,00 por mês Seguro de Vida em Grupo Convênio Medico Porto seguro- 20% de desconto Convenio odontológico - sem desconto PLR anual
19 de jun. de 2023
Ex-Gerente de Relacionamento Empresas em São Paulo, SP, São Paulo
A empresa oferece Bons benefícios",NF,mazzatech,3.9,18411: Analista Desenvolvedor Mobile Jr/Pl,Vitória,18411: Analista Desenvolvedor Mobile Jr/Pl
"Autoglass
4.3
Desenvolvedor Front-end - ES
Vila Velha",Vila Velha,"DESCRIÇÃO DA VAGA
Estamos em busca de um profissional que desempenhe um papel fundamental no desenvolvimento de nossos programas internos. Suas responsabilidades incluem realizar correções e manutenções, realizar testes, esclarecer dúvidas dos usuários, auxiliar na utilização do sistema e buscar constantemente o aprimoramento na tecnologia de desenvolvimento adotada pela empresa.
Se você é alguém que pensa de forma criativa, possui um espírito inovador e tem habilidades excepcionais na construção de relacionamentos, você encontrou o seu lugar!
Não perca tempo, candidate-se hoje mesmo!
RESPONSABILIDADES E ATRIBUIÇÕES
As principais responsabilidades deste profissional incluem:




Mostrar mais
Visão geral da empresa
Tamanho
1.001 a 5.000 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
Lojas de acessórios e peças automotivas
Setor
Atacado e varejo
Receita
Desconhecido/Não se aplica
Classificações da empresa Autoglass
4,3
85 %
Recomendam para outras pessoas
Oportunidades de carreira
4,2
Remuneração e benefícios
4,3
Cultura e valores
4,2
Alta liderança
3,7
Qualidade de vida
4,0
Benefícios da empresa Autoglass
4,5
3 classificações
Avaliações de benefícios de funcionários
Mais comentadas
Vale-Alimentação(52 comentários)
""acima da media do mercado""
Plano de Saúde(36 comentários)
""nunca usei mas eh unimed top""
Refeitório(20 comentários)
""muito amplo muito bom mesmo""
21 de mar. de 2024
Atual Estoquista em São Paulo, SP, São Paulo
Vantagem Benefício Desvantagem muita cobrança e a gerencia só pensa nos seus próprios ganhos não se importando com estoque mais só com vendedores técnicos da loja. Pois quanto mais eles venderem mais o gerente vai ganhar no salario dele.
19 de mar. de 2024
Ex-Assistente De Departamento Pessoal (DP) em Vila Velha, ES, Espírito Santo
muito bom e sempre caia o ticket antes do pagamento
16 de mar. de 2024
Atual Analista De Recursos Humanos (RH) em Vila Velha, ES, Espírito Santo
Não tem ticket na licença maternidade",NF,Autoglass,4.3,Desenvolvedor Front-end - ES,Vila Velha,Desenvolvedor Front-end - ES
"Gestão de Vagas LGC
Programador / operador com foco em laser I
Serra",Serra,"Metalurgica na Serra busca Programador/operador com foco em laser para:
Preparar a Máquina para o corte e acabamento de materiais metálicos.
As principais responsabilidades são:
Planejar e organizar a sequência de programação conforme ordens de produção.
Diariamente recebe Desenhos e Ordens de Produção listando a quantidade e as características dos tubos metálicos que devem ser cortados e chanfrados visando disponibilizá-los para o estoque e expedição;
Programa a máquina criando instruções computadorizadas através do painel eletrônico do equipamento determinando a sequência e especificações da operação (comprimento, diâmetro e espessura) para o corte e acabamento dos tubos;
Prepara a máquina substituindo, montando e ajustando as ferramentas para o corte dos materiais de acordo com as dimensões especificadas nas Ordens de Produção. Acompanha o acionamento do equipamento para uma operação-teste, confere as dimensões, faz os ajustamentos necessários e libera para o processo;
Mantém-se atento à operação zelando pela manutenção dos indicadores estabelecidos na Ordem de Produção interferindo no processo quando da necessidade de correções na programação;
Cuida da ordem e limpeza do local, equipamentos e ferramentas de trabalho solicitando serviços de manutenção quando necessário bem como observa os procedimentos de segurança na operação e uso apropriado dos EPIs;
Mantém-se atualizado nas técnicas de operação e programação através de leitura e cursos de reciclagem;
Eventualmente pode atuar na operação do equipamento abrangendo todas as etapas desde a alimentação do processo, corte e acabamento das peças até a inspeção final, embalagem e movimentação dos lotes para a expedição e os devidos registros de controle;
Executar todas as demais funções correlatas ao cargo, as que surgirem no decorrer dos serviços e ou as que se fizerem necessárias para o bom andamento dos serviços;
Cumprir as normas de segurança estabelecidas.








Mostrar mais
Salário base
O salário mínimo é de R$ 2 mil e o salário máximo é de R$ 2 mil.
R$ 2 mil/mês (est. Empresa)
Serra
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.",R$ 2 mil/mês (est. Empresa),Gestão de Vagas LGC,Programador / operador com foco em laser I,Serra,,Programador / operador com foco em laser I
"Mogai Tecnologia
Desenvolvedor Front-end (Pleno)
Vitória",Vitória,"Vaga: Desenvolvedor Front-end (Pleno)
Profissional Frnt-end para atuação numa equipe de desenvolvimento e manutenção de soluções de Advanced Analytics e Inteligência Artificial para Confiabilidade de Ativos (Saúde de Ativos de Mina/Ferrovia, Ativos de Pelotização, Detecção de falhas em Peneiras, Transportadores de Correia; Assistente Cognitivo, Tendência de óleo de usina, etc).
Atividades/Responsabilidades:
Grupos de Controle: Sequência das atividades dos grupos de controle já formados e implementação de novos tais quanto surgirem novos projetos ou novos rollouts.
Coleta de Benefícios: O processo de manutenção dos modelos engloba a coleta de benefícios dos produtos, tais como a redução de falhas, o aumento da produtividade, a redução de exposição ao risco, redução de horas de inspeção, entre outros; Buscar a constante evolução desse processo, desenvolvendo novas metodologias em colaboração com os usuários e garantindo a atualização contínua do histórico de benefícios.
Mostrar mais
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Mogai Tecnologia
3,9
100 %
Recomendam para outras pessoas
Oportunidades de carreira
3,6
Remuneração e benefícios
3,3
Cultura e valores
2,8
Alta liderança
3,2
Qualidade de vida
4,4",NF,Mogai Tecnologia,Desenvolvedor Front-end (Pleno),Vitória,,Desenvolvedor Front-end (Pleno)
"Yooga
Desenvolvedor(a) Frontend
Vitória",Vitória,"Se você gosta de desafios e busca crescimento, vem sonhar grande e executar muito com a gente!

Aqui você terá oportunidade de trabalhar diretamente no desenvolvimento dos nossos principais produtos. Buscamos pessoas que tenham bastante senso crítico, obsessão pelo cliente e que adora refatorar e refinar códigos lentos ou defasados.

Responsabilidades e atribuições
Trabalhar nas principais aplicações web da Yooga;
Mapear e construir requisitos de negócio sobre as demandas
Realizar interface com as áreas envolvidas nos desafios do negócio.












Mostrar mais
Visão geral da empresa
Tamanho
51 a 200 funcionários
Fundação
2017
Tipo
Empresa – capital fechado
Indústria
Desenvolvimento de hardware
Setor
Tecnologia da informação
Receita
Desconhecido/Não se aplica
Classificações da empresa Yooga
3,9
68 %
Recomendam para outras pessoas
Oportunidades de carreira
3,9
Remuneração e benefícios
3,3
Cultura e valores
3,8
Alta liderança
3,5
Qualidade de vida
3,8",NF,Yooga,Desenvolvedor(a) Frontend,Vitória,,Desenvolvedor(a) Frontend
"Code n' App
2021 - Desenvolvedor Front-end Pleno
Vitória",Vitória,"Somos uma empresa que é a-pai-xo-na-da por tecnologia, que através do desenvolvimento de software e processos, buscamos soluções inovadoras e totalmente customizadas para cada um dos nossos clientes a fim de alcançar o melhor resultado, independente da tecnologia utilizada.

Além disso, estamos em um ritmo de crescimento a-ce-le-ra-do então se você curte desafios, busca evoluir e ama tecnologia, temos aqui um time para chamar de seu! Pois adoramos reconhecer e potencializar o desenvolvimento dos nossos Codenappers.

Nossos valores
Trata-se de cinco pilares igualmente importantes. São norteadores de comportamentos valorizados que dizem respeito à nossa cultura, de como podemos nos aperfeiçoar como equipe e oferecer o melhor as pessoas com quem nos relacionamos.























Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Code n' App
4,2
90 %
Recomendam para outras pessoas
Oportunidades de carreira
3,6
Remuneração e benefícios
3,8
Cultura e valores
4,6
Alta liderança
3,7
Qualidade de vida
4,0
Benefícios da empresa Code n' App
5,0
3 classificações
Avaliações de benefícios de funcionários
6 de fev. de 2024
Atual Funcionário em Vitória, ES, Espírito Santo
ferias, décimo terceiro, subsidio na academia (gympass) ticket
24 de jan. de 2024
Atual Funcionário em Vitória, ES, Espírito Santo
Poderia oferecer home office ao inves de hibrido
2 de out. de 2023
Atual Desenvolvedor em Vitória, ES, Espírito Santo
Plano de saúde, day off, regime híbrido de trabalho, ambiente agradável, time colaborativo.",NF,Code n' App,2021 - Desenvolvedor Front-end Pleno,Vitória,,2021 - Desenvolvedor Front-end Pleno
"Yooga
Desenvolvedor(a) Backend
Vitória",Vitória,"Aqui você terá a oportunidade de desenvolver e escalar as principais APIs que a Yooga disponibiliza. Buscamos alguém que participe de decisões importantes de produto, que revise o trabalho de outras pessoas e que participe ativamente da construção do início ao fim de novas funcionalidades ou refatoração de funcionalidades já existentes.

O que não pode faltar?

Domínio em Node ou Java
Experiência com criação de APIs e micro-serviços
Conhecimento sobre MySQL e ORM
Saber como funciona Git Flow















Mostrar mais
Visão geral da empresa
Tamanho
51 a 200 funcionários
Fundação
2017
Tipo
Empresa – capital fechado
Indústria
Desenvolvimento de hardware
Setor
Tecnologia da informação
Receita
Desconhecido/Não se aplica
Classificações da empresa Yooga
3,9
68 %
Recomendam para outras pessoas
Oportunidades de carreira
3,9
Remuneração e benefícios
3,3
Cultura e valores
3,8
Alta liderança
3,5
Qualidade de vida
3,8",NF,Yooga,Desenvolvedor(a) Backend,Vitória,,Desenvolvedor(a) Backend
"Grupo Educavix
2.4
Vaga Programador / operador com foco em laser I
Serra",Serra,"Metalurgica na Serra busca Programador/operador com foco em laser para: Preparar a Máquina para o corte e acabamento de materiais metálicos. As principais responsabilidades são: Planejar e organizar a sequência de programação conforme ordens de produção. Diariamente recebe Desenhos e Ordens de Produção listando a quantidade e as características dos tubos metálicos que devem ser cortados e chanfrados visando disponibilizá-los para o estoque e expedição; Programa a máquina criando instruções computadorizadas através do painel eletrônico do equipamento determinando a sequência e especificações da operação (comprimento, diâmetro e espessura) para o corte e acabamento dos tubos; Prepara a máquina substituindo, montando e ajustando as ferramentas para o corte dos materiais de acordo com as dimensões especificadas nas Ordens de Produção. Acompanha o acionamento do equipamento para uma operação-teste, confere as dimensões, faz os ajustamentos necessários e libera para o processo; Mantém-se atento à operação zelando pela manutenção dos indicadores estabelecidos na Ordem de Produção interferindo no processo quando da necessidade de correções na programação; Cuida da ordem e limpeza do local, equipamentos e ferramentas de trabalho solicitando serviços de manutenção quando necessário bem como observa os procedimentos de segurança na operação e uso apropriado dos EPIs; Mantém-se atualizado nas técnicas de operação e programação através de leitura e cursos de reciclagem; Eventualmente pode atuar na operação do equipamento abrangendo todas as etapas desde a alimentação do processo, corte e acabamento das peças até a inspeção final, embalagem e movimentação dos lotes para a expedição e os devidos registros de controle; Executar todas as demais funções correlatas ao cargo, as que surgirem no decorrer dos serviços e ou as que se fizerem necessárias para o bom andamento dos serviços; Cumprir as normas de segurança estabelecidas.



Não informado



A combinar


Programador


Grupo Educavix
Empresa atua no ramo recursos humanos.


Recursos Humanos/ Recrutamento e seleção (EJ)


Efetivo (CLT)


Não informado


A combinar
Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Grupo Educavix
2,4
43 %
Recomendam para outras pessoas
Oportunidades de carreira
2,4
Remuneração e benefícios
2,2
Cultura e valores
2,1
Alta liderança
2,1
Qualidade de vida
2,4",NF,Grupo Educavix,2.4,Vaga Programador / operador com foco em laser I,Serra,Vaga Programador / operador com foco em laser I
"Fator WoW!
5.0
Desenvolvedor Pl
Vitória",Vitória,"Nível: Pleno
Escolaridade: Ensino médio - Completo
Tipo de contrato: CLT
Jornada de trabalho: Segunda a setxa: 08:00 até 17:00Jornada: 40 horas semanais
Disponibilidade para home-office

Benefícios: Vale alimentação de R$ 28,00, Plano de saúde

Responsabilidades e Experiências desejáveis:PRINCIPAIS ATIVIDADES:
Desenvolvimento e manutenção de aplicativos Java/Javascript/Typescript;
Manutenção e desenvolvimento de integrações;
Manutenção e desenvolvimento de relatórios;
Levantamento de requisitos;
Apoio aos desenvolvedores juniores.


Desenvolvimento em Java/Javascript/Typescript;
Conhecimento avançado em SQL;
Conhecimento avançado em Linux\Mac;
Capacidade de fazer levantamento junto aos clientes.

--


Se estiver interessado nesta posição, clique em ""Candidatar-se"" e se cadastre em nosso sistema, este é o melhor canal. Para encaminhar uma cópia do seu CV o e-mail é: vagas@fatorwow.com.br - importante colocar o nome da Vaga no campo ""Assunto"" do seu e-mail.

Se esta posição não se encaixar perfeitamente em seus planos, mas você estiver explorando oportunidades profissionais, sinta-se à vontade para nos informar. Podemos discutir de maneira confidencial sobre suas perspectivas de carreira em contato@fatorwow.com.br .

Pleno
Mostrar mais
Salário base
O salário mínimo é de R$ 7 mil e o salário máximo é de R$ 7 mil.
R$ 7 mil/mês (est. Empresa)
Vitória
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
2018
Tipo
Empresa – capital fechado
Indústria
Consultoria de RH
Setor
Recursos humanos e pessoal
Receita
Desconhecido/Não se aplica
Classificações da empresa Fator WoW!
5,0
56 %
Recomendam para outras pessoas
Oportunidades de carreira
4,1
Remuneração e benefícios
3,3
Cultura e valores
3,3
Alta liderança
4,1
Qualidade de vida
4,1",R$ 7 mil/mês (est. Empresa),Fator WoW!,5,Desenvolvedor Pl,Vitória,Desenvolvedor Pl
"SONDA IT
3.7
Desenvolvedor Java Pleno
ES",ES,"Viva a experiência SONDA
Aqui você transforma sua carreira!
Por que fazer parte da SONDA?
Porque assim como você, amamos o que fazemos, temos paixão por inovação e estamos convencidos de que através do conhecimento e da tecnologia vamos transformar não só os negócios de nossos clientes, mas também o futuro.
Na SONDA você terá uma experiência de trabalho com diversas oportunidades de desenvolvimento pessoal e profissional. Um excelente lugar para aprender e contribuir para melhorar a qualidade de vida das pessoas por meio da tecnologia.

Procuramos Desenvolvedor Java Full Stack Pleno que queira aprender e transformar sua carreira.








Mostrar mais
Visão geral da empresa
Tamanho
Desconhecido
Fundação
1974
Tipo
Empresa – capital fechado
Indústria
Serviços de apoio à tecnologia da informação
Setor
Tecnologia da informação
Receita
Desconhecido/Não se aplica
Classificações da empresa SONDA IT
3,7
70 %
Recomendam para outras pessoas
Oportunidades de carreira
3,1
Remuneração e benefícios
3,3
Cultura e valores
3,4
Alta liderança
3,2
Qualidade de vida
3,4
Avaliações da empresa SONDA IT
Prós
""good benefits, health, dental, life security."" (em 5 avaliações)
""Good Salary"" (em 5 avaliações)
""Good work environment"" (em 5 avaliações)
""large project portfolio, great career opportunities, international team"" (em 7 avaliações)
""New technologies to work; good colleagues"" (em 3 avaliações)
Contras
""As i was based on a client, I didnt receive much benefits."" (em 5 avaliações)
""Bad Salaries"" (em 5 avaliações)
Benefícios da empresa SONDA IT
3,3
3 classificações
Avaliações de benefícios de funcionários
Mais comentadas
Plano de Saúde(74 comentários)
""Plano Saúde Bradesco com coparticipação""
Vale-Refeição(66 comentários)
"" aprox. 45 reais por dia útil de trabalho""
Vale-Alimentação(35 comentários)
""Pode ser um valor mais elevado""
7 de mar. de 2024
Atual Consultor de Implantação Pleno em São Paulo, SP, São Paulo
VR, VA, plano de saúde, auxílio creche, auxílio home office, plano odontológico.
8 de mar. de 2024
Atual Pré-Vendas em Belo Horizonte, MG, Minas Gerais
Plano de saúde com coparticipação, plano odontológico, seguro de vida, Vale-refeição, Vale-alimentação e auxílio-funeral
11 de mar. de 2024
Atual Arquiteto de Software Sênior em São Paulo, SP, São Paulo
Dependendo da região, o plano de saúde é limitado a um único hospital.",NF,SONDA IT,3.7,Desenvolvedor Java Pleno,ES,Desenvolvedor Java Pleno
