Localização,Skills Necessarias,Média Salarial,Cargo,ver_cargo,palavra_chave,Área,texto,Cargo 1,Cargo 2,Cargo 3,Cargo 4,Cargo 5,Cargo 6,palavra-chave 1,palavra-chave 2,palavra-chave 3,palavra-chave 4,palavra-chave 5,palavra-chave 6,Nome Vaga Normalizado,Área Normalizada,Macro Área
Caxias do Sul,"Programar, preparar e operar máquinas de usinagem CNC; usinar peças de metais ferrosos; ajustar máquinas de usinagem CNC, ajustar ferramentas e realizar testes.
Programador e Operador de Centro de Usinagem220 hs1Vale alimentação
Vale transporte / Insalubridade de 20%

Requisitos: Escolaridade mínima:
Médio - Concluído - Obrigatório
Técnico/Profissionalizante - Lid e Metrologia - Concluído - Obrigatório
Curso em preparação e programação de Torno CNC - concluído - Obrigatório

Experiências e qualificações:
Experiência na função no comando Fanuc, desejável Mach8.
Mostrar mais
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital aberto
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica",NF, programador e operador de centro de usinagem , programador ,Outros,desenvolvimento de software,programador,False,False,False,True,False,False,False,False,False,True,False,False,Indefinido,,
Porto Alegre,"Descrição:
O mundo é ágil e nos cobra agilidade!

Acreditamos que a inovação é, antes de tudo, uma atitude. Decidir, surpreender, testar e implantar novas realidades e redefinir o futuro. Queremos criar ideias que transformem pessoas e, assim, impulsionar as pessoas a transformar o mundo.

Como Conquistamos Esta Transformação? Provocando a mudança da mentalidade de nossas pessoas - buscando empreendedorismo, resiliência, compreensão da proposta de valor Qintess e vivência no dia a dia.

Descrição:



240411020236792386
Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Netvagas
2,8
33 %
Recomendam para outras pessoas
Oportunidades de carreira
2,2
Remuneração e benefícios
2,0
Cultura e valores
2,2
Alta liderança
2,2
Qualidade de vida
2,0",NF, analista desenvolvedor  . net ," analista ,  desenvolvedor "," net ,  net ",desenvolvimento de software,analista desenvolvedor net net,True,True,True,False,False,True,True,True,True,False,False,False,Desenvolvedor,desenvolvedor,desenvolvimento de software
São Leopoldo,"Analyze sales forecasts and plan production schedules
Perform MRP and generate purchasing and production requirements
Generate purchase requisitions and monitor the process
Review and approve production orders
Manage PCP indicators
Help production meet promised deadlines
Follow up and make personal visits to suppliers - internal and external (Chile, USA)
Suggest capacity upgrades or reductions
Monitor customer orders to ensure all contract items are met
Support areas to improve division performance
Mostrar mais
Visão geral da empresa
Tamanho
Mais de 10.000 funcionários
Fundação
1955
Tipo
Empresa – capital aberto
Indústria
Fabricação de máquinas
Setor
Manufatura
Receita
De US$ 5 a US$ 10 bilhões
Classificações da empresa Regal Rexnord
3,4
60 %
Recomendam para outras pessoas
Oportunidades de carreira
3,3
Remuneração e benefícios
3,4
Cultura e valores
3,4
Alta liderança
3,1
Qualidade de vida
3,3
Avaliações da empresa Regal Rexnord
Prós
""Great management, friendly and attentive"" (em 9 avaliações)
""Decent pay and nice benefits"" (em 14 avaliações)
""Made good money and good insurance"" (em 7 avaliações)
""Friendly people to work with."" (em 4 avaliações)
""Safety is pretty good, but a little overkill sometimes"" (em 7 avaliações)
Contras
""Bad management for the people……."" (em 9 avaliações)
""Health insurance, 401k match, parking"" (em 7 avaliações)
""They don’t care about your safety."" (em 7 avaliações)
Benefícios da empresa Regal Rexnord
4,5
3 classificações
Avaliações de benefícios de funcionários
27 de mai. de 2022
Ex-Funcionário em São Leopoldo, RS, Rio Grande do Sul
òtimos benefícios, plano de saúde excelente
26 de out. de 2016
Ex-Regional Sales Manager em Sorocaba, SP, São Paulo
Benefits came when PTS was acquired from Emerson.",NF, production clerk / programador ( a )  pcp , programador ,Outros,desenvolvimento de software,programador,False,False,False,True,False,False,False,False,False,True,False,False,Indefinido,,
Porto Alegre,"Atribuições: Realizar projetos de desenvolvimento de sistemas sob supervisão, atuando na codificação, teste e documentação atendendo às demandas de clientes, incluindo os requisitos técnicos com os quais a solução irá operar. Trabalho poderá ser realizado em home office.
Requisitos
Requisitos:

Ensino Superior completo;
Experiência na área.
Escolaridade mínima
Não informado
Jornada de trabalho
Jornada de Trabalho: Segunda a sexta das 08:00 às 12:00 e das 13:15 às 18:00.
Salário a combinar

Benefícios:

Assistência Médica;
Assistência Odontológica;
Auxílio Alimentação;
Auxílio Transporte;
Seguro de Vida.
Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Self-employed
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Divulga Vagas - Consultoria
4,8
100 %
Recomendam para outras pessoas
Oportunidades de carreira
4,8
Remuneração e benefícios
5,0
Cultura e valores
4,7
Alta liderança
4,6
Qualidade de vida
4,8",NF, analista desenvolvedor ii  -  porto alegre  -  rs  -  vaga ," analista ,  desenvolvedor ",Outros,desenvolvimento de software,analista desenvolvedor,True,True,True,False,False,True,True,True,False,False,False,False,Desenvolvedor,desenvolvedor,desenvolvimento de software
Caxias do Sul,"Operador e Programador de Robô de Solda
LM SCOPEL RECURSOS HUMANOS
Informações gerais
Descrição
Operar e programar robô de solda
Atividades
Programar Robô de Solda
Efetuar correções ao longo do processo
Definir parâmetros de soldagem
Conferir qualidade da solda
Controle dimensional dos conjuntos soldados
Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Skeel
4,4
88 %
Recomendam para outras pessoas
Oportunidades de carreira
3,7
Remuneração e benefícios
4,0
Cultura e valores
4,2
Alta liderança
4,4
Qualidade de vida
4,4",NF, operador e programador de robo de solda , programador ,Outros,desenvolvimento de software,programador,False,False,False,True,False,False,False,False,False,True,False,False,Indefinido,,
Caxias do Sul,"Descrição:
GRADUAÇÃO CURSANDO
PROGRAMAR AS MÁQUINAS CONVENCIONAIS;
PROGRAMAR AS MÁQUINAS AUTOMATIZADAS;
DETERMINAR A SEQUENCIA DE OPERAÇÃO DAS MÁQUINAS;
BUSCAR O MELHOR APROVEITAMENTO DA MATÉRIA PRIMA VERSUS DIMENSÃO SOLICITADA;
IDENTIFICAR PROBLEMAS NO PROCESSO DE TRABALHO E REALIZAR AS CORREÇÕES NECESSÁRIAS;
DETALHAR ETAPAS OPERACIONAIS REMANEJANDO PEÇAS;
TREINAR E ORIENTAR OS DEMAIS.

240410020235879651
Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Netvagas
2,8
33 %
Recomendam para outras pessoas
Oportunidades de carreira
2,2
Remuneração e benefícios
2,0
Cultura e valores
2,2
Alta liderança
2,2
Qualidade de vida
2,0",NF, programador maquinas  -  ana rech  /  rs , programador ,Outros,desenvolvimento de software,programador,False,False,False,True,False,False,False,False,False,True,False,False,Indefinido,,
Porto Alegre,"Irá realizar as atividades manutenção em sistemas já existentes, bem como trabalhar na evolução dos produtos em conjunto com a equipe; Projetar, analisar e desenvolver funcionalidades e soluções alinhadas as necessidades da empresa e dos clientes; Contribuir no desenvolvimento de novas tecnologias e soluções;

Curso superior na área de TI completo ou Cursando- HTML 5, CSS / SCSS / Sass, Bootstrap, Asp.Net / C#, React JS, React Native, SQL Server / Oracle, SQLite, Nodes e Conhecimentos de Arquitetura de Software. Irá atuar na modalidade Home Office.. Cargo: DESENVOLVEDOR ASP. NET C# - PORTO ALEGRE | Salario: R$ 2.500,00. | Ensino: Ensino superior - Bacharelado | Licenciatura | Tecnologia. | Turno: Manhã e Tarde. | Area: Informática. | Experiencia: 6 meses. | Cidade: Porto Alegre / RS
Mostrar mais
Salário base
O salário mínimo é de R$ 3 mil e o salário máximo é de R$ 3 mil.
R$ 3 mil/mês (est. Empresa)
Porto Alegre
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa OEmprego
4,5
100 %
Recomendam para outras pessoas
Oportunidades de carreira
4,7
Remuneração e benefícios
4,7
Cultura e valores
5,0
Alta liderança
5,0
Qualidade de vida
4,7",R$ 3 mil/mês (est. Empresa), desenvolvedor asp .  net c#  -  porto alegre , desenvolvedor ," net ,  c# ,  net ",desenvolvimento de software,desenvolvedor net c net,True,False,True,False,False,False,True,True,True,False,False,False,Desenvolvedor,desenvolvedor,desenvolvimento de software
Cachoeirinha,"Oportunidade efetiva para Indústria de Usinagem e Matrizaria em Cachoeirinha

Requisitos:
Experiência de no mínimo 1 ano como Programador de CNC CAM;
Curso na área;
Residir em Cachoeirinha ou cidade próxima.
Salário compatível + benefícios

Escolaridade Mínima: Ensino Médio (2º Grau)
Mostrar mais
Faixa de salário base
O salário mínimo é de R$ 4 mil e o salário máximo é de R$ 5 mil.
R$ 4 mil – R$ 5 mil/mês (est. Empresa)
R$ 4 mil
/mês (mediana)
Cachoeirinha
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.
Visão geral da empresa
Tamanho
501 a 1.000 funcionários
Fundação
1960
Tipo
Empresa – capital aberto
Indústria
Consultoria de RH
Setor
Recursos humanos e pessoal
Receita
Desconhecido/Não se aplica
Classificações da empresa Randstad Consultoria em Recursos Humanos
3,8
73 %
Recomendam para outras pessoas
Oportunidades de carreira
3,5
Remuneração e benefícios
3,3
Cultura e valores
3,7
Alta liderança
3,5
Qualidade de vida
3,7
Avaliações da empresa Randstad Consultoria em Recursos Humanos
Prós
""Staring salary was good and co"" (em 843 avaliações)
""Good benefits and technology."" (em 305 avaliações)
""Management is good and clear in direction"" (em 446 avaliações)
""Good work life balance and chill environment"" (em 429 avaliações)
""the culture was good but got disturbed a lot while I was in the business which was disappointing."" (em 555 avaliações)
Contras
""Low salary and the promise of a new signing contract as Administrative never happened despite the seven years doing that role."" (em 843 avaliações)
""it’s understood that there are no benefits (agencies as usual)"" (em 305 avaliações)
""Poor management, and likeofattentionto workers"" (em 446 avaliações)
""No work life balance 12 to 16 hours work in a day"" (em 429 avaliações)
""Culture has changed in the recent years"" (em 555 avaliações)
Randstad Consultoria em Recursos Humanos – Por que trabalhar com a gente?
História da Randstad
Cresça com a Gente
Cultura
Valores
Depoimentos
Em 1960, nosso fundador, Frits Goldschmeding, levou nossa primeira candidata a uma entrevista de emprego em uma bicicleta, e isso foi o início da transformação que a Randstad vem liderando no mundo do trabalho. É agir com empatia e criar conexões mais humanas que farão a diferença em seu negócio.
Com 63 anos, a Randstad está presente em 38 países e tem mais de 4.800 escritórios distribuídos pelos cinco continentes do mundo. A corporação emprega cerca de 33 mil colaboradores em seus países de operação e cerca de 649.000 pessoas diariamente a nível mundial. 
Com o posicionamento em ser parceiro do talento, a empresa está no Brasil com 21 filiais localizadas em todas as regiões do país, desenvolvendo serviços especializados para o mercado nacional com o objetivo de simplificar toda a gestão de RH, como: recrutamento e seleção de força de trabalho permanente e temporário para todas as áreas, níveis e segmentos de mercado; transferência da responsabilidade do processo de recrutamento e seleção da empresa para a Randstad; gestão da força de trabalho temporária; contratação de profissionais de tecnologia; contratação de executivos por período determinado; avaliação e desenvolvimento de pessoas; transição assistida de carreira; soluções de onboarding; estudos de mercado e gerenciamento de fornecedores de serviços de força de trabalho temporária. 
Benefícios da empresa Randstad Consultoria em Recursos Humanos
4,3
3 classificações
Avaliações de benefícios de funcionários
Mais comentadas
Vale-Refeição(58 comentários)
""Recentemente incluiram Gympass promovendo ainda mais qualidade vida. ""
Vale-Transporte/Fretado(26 comentários)
""Ter VT é um ótimo benefício!""
Plano de Saúde(22 comentários)
""Muito importante p cuidar da saúde com satisfação e bem estar q está TD ok""
3 de abr. de 2024
Ex-Operadora de Máquinas em Ponta Grossa, PR, Paraná
Refeição no local Plano de saúde
26 de mar. de 2024
Atual Analista R&amp;S em São Paulo, SP, São Paulo
Pacote de benefícios bem completo! Plano de Saúde sem coparticipação. VR/VA Flexível Auxílio Home Office Previdência Privada Gympass PLR Jornada Flexível Short Friday Day Off
27 de mar. de 2024
Ex-Senior Consultant em Salvador, BA, Bahia
Plano de saúde Amil sem coparticipação.",R$ 4 mil – R$ 5 mil/mês (est. Empresa), programador de cnc  -  cam , programador ,Outros,desenvolvimento de software,programador,False,False,False,True,False,False,False,False,False,True,False,False,Indefinido,,
Sapucaia do Sul,"CONHECIMENTO EM PROGRAMAÇÃO CENTRO DE USINAGEM;

DOMINIO DO SOFTWARW NX;

AUTONOMIA TOTAL NA PREPARAÇÃO CENTRO USINAGEM;

CONHECIMENTO EM AFIAÇÃO DE FERRAMENTAS;

DISPONIBILIDADE DE HORÁRIOS;. Cargo: PROGRAMADOR CNC - SAPUCAIA DO SUL | Salario: R$ 5.000,00. | Ensino: Ensino médio. | Turno: Manhã e Tarde. | Area: Industrial, Produção, Fábrica. | Experiencia: . | Cidade: Sapucaia do Sul / RS
Mostrar mais
Salário base
O salário mínimo é de R$ 5 mil e o salário máximo é de R$ 5 mil.
R$ 5 mil/mês (est. Empresa)
Sapucaia do Sul
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa OEmprego
4,5
100 %
Recomendam para outras pessoas
Oportunidades de carreira
4,7
Remuneração e benefícios
4,7
Cultura e valores
5,0
Alta liderança
5,0
Qualidade de vida
4,7",R$ 5 mil/mês (est. Empresa), programador cnc  -  sapucaia do sul , programador ,Outros,desenvolvimento de software,programador,False,False,False,True,False,False,False,False,False,True,False,False,Indefinido,,
Canoas,"Desejável: Técnico Completo e experiência com programação de CNC.
Disponibilidade de horários.
Atividades: Realizar a programação das máquinas, interpretando desenhos técnicos e utilizando os softwares adequados;
Usinagem de peças novas de precisão, e recuperação de peças conforme desenho;
Ajusta ferramentas;
Programação, preparação e operação de torno CNC e centro de usinagem para fabricação de peças técnicas conforme desenho.
Salário: R$5.500,00 + 20% de Insalubridade
Benefícios: VT, alimentação no local, assistência médica e odontológica.
Horário: Segunda a sexta-feira das 07:30 às 17:30.
Mostrar mais
Salário base
O salário mínimo é de R$ 6 mil e o salário máximo é de R$ 6 mil.
R$ 6 mil/mês (est. Empresa)
Canoas
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital aberto
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica",R$ 6 mil/mês (est. Empresa), programador de torno cnc , programador ,Outros,desenvolvimento de software,programador,False,False,False,True,False,False,False,False,False,True,False,False,Indefinido,,
Cachoeirinha,"Atribuições: Elaborar programas de média e alta complexidade, analisando desenhos e geometria das peças, determinando as sequências coerentes e econômicas das operações, projetando dispositivos de fixação das peças e das ferramentas, para a usinagem em máquinas CNC.
Requisitos
Requisitos: Conhecimento Leitura e Interpretação de Desenho. Conhecimento em metrologia, conhecimento em Normas de Segurança. Conhecimento de Programação e Operação de Máquinas CNC (Torno e Centro de Usinagem), Conhecimento de Programação de Máquinas CNC via CAM.
Escolaridade mínima
Não informado
Jornada de trabalho
Jornada de Trabalho: Segunda a quinta 08h às 18h, Sexta 08h às 17h
Salário R$ 5.000,00.

Benefícios:

Vale Transporte
Assistência Médica
Assistência Odontológica
Refeitório No local.
Mostrar mais
Salário base
O salário mínimo é de R$ 5 mil e o salário máximo é de R$ 5 mil.
R$ 5 mil/mês (est. Empresa)
Cachoeirinha
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Self-employed
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Divulga Vagas - Consultoria
4,8
100 %
Recomendam para outras pessoas
Oportunidades de carreira
4,8
Remuneração e benefícios
5,0
Cultura e valores
4,7
Alta liderança
4,6
Qualidade de vida
4,8",R$ 5 mil/mês (est. Empresa), programador cad - cam  -  cachoeirinha  -  rs  -  vaga , programador ,Outros,desenvolvimento de software,programador,False,False,False,True,False,False,False,False,False,True,False,False,Indefinido,,
Caxias do Sul,"Empresa Localizada no Bairro Santa Catarina
Programador CAM Júnior/Analista Técnico Administrativo
Responsável pela geração de programas CNC’s através de software Edgecam
Programação de Tornos CNC e Centros de Usinagem
Manter atualizado planilha Excel com todas as características das máquinas de usinagem
Experiência com usinagem CNC (Centro, torno ou fresa)
Habilidades com Excel avançado
Cursos na área de usinagem
Das 07:30 às 17:18
R$ 2.623,61 a R$ 3.279,51inicial + 10% de reajuste pós experiência
Plano de saúde Unimed
Mostrar mais
Salário base
O salário mínimo é de R$ 3 mil e o salário máximo é de R$ 3 mil.
R$ 3 mil/mês (est. Empresa)
Caxias do Sul
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital aberto
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica",R$ 3 mil/mês (est. Empresa), programador cam junior / analista tecnico administrativo ," analista ,  tecnico ,  programador ",Outros,desenvolvimento de software,analista tecnico programador,True,True,True,True,False,True,False,True,False,True,False,False,Analista de suporte,suporte,suporte
Ivoti,"Estamos em busca de um profissional para área de PCP.
Mostrar mais
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa SPM COUROS LTDA
5,0
100 %
Recomendam para outras pessoas
Oportunidades de carreira
4,0
Remuneração e benefícios
4,0
Cultura e valores
4,0
Qualidade de vida
5,0",NF, programador de producao  |  pcp , programador ,Outros,desenvolvimento de software,programador,False,False,False,True,False,False,False,False,False,True,False,False,Indefinido,,
Caxias do Sul,"Vaga para Programador e operador de torno CNC:
- Conhecimento e experiência em programação CNC;
- LID e metrologia;
- Organização;
- Pro-atividade;
- Medição de peças com micrômetros e súbitos;
- Qualidade nas peças fabricadas.
Tipo de vaga: Tempo integral, Efetivo CLT
Salário: R$3.300,00 - R$4.600,00 por mês
Benefícios:
Mostrar mais
Faixa de salário base
O salário mínimo é de R$ 3 mil e o salário máximo é de R$ 5 mil.
R$ 3 mil – R$ 5 mil/mês (est. Empresa)
R$ 4 mil
/mês (mediana)
Caxias do Sul
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.",R$ 3 mil – R$ 5 mil/mês (est. Empresa), programador e operador de torno cnc , programador ,Outros,desenvolvimento de software,programador,False,False,False,True,False,False,False,False,False,True,False,False,Indefinido,,
Porto Alegre,"Possuir disponibilidade para o turno das 16h a 01:30 Segunda a Sexta.
Salário: a combinar
VR R$550,00
Plano de Saúde Unimed após contrato experiência
Requisitos: Experiência na função, curso de específico de Programação e ou voltados para área de Usinagem.
Atribuições: Elaboração de programas de usinagens simples através de softwares; Utilização de sistema de controle de produção; Define tipo de Ferramental a ser utilizado;
Operação e Preparação de Centro de Usinagem eventualmente; Acompanhamento das tarefas diárias sobre cronograma de fabricação; Auxiliar equipe operacional.
Residir preferencialmente em Esteio, Canoas, Sapucaia do Sul, São Leopoldo ou Porto Alegre.
Interessados encaminhar currículo para : oportunidades@dbassessoriaderh.com.br
Mostrar mais
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica",NF, programador de cnc  -  navegantes  -  porto alegre , programador ,Outros,desenvolvimento de software,programador,False,False,False,True,False,False,False,False,False,True,False,False,Indefinido,,
Caxias do Sul,"Empresa sediada em Caxias do Sul, está em busca:
Objetivos:
Programar Controladores Lógico Programáveis (CLPs) (Siemens, Schneider, Weg, Rockwell entre outros);
Programar Interface Homem Máquina (IHMs) (Siemens, Schneider, Weg, Rockwell entre outros);
Desenvolver Sistemas de Supervisão (Elipse E3, FactoryTalk View, Indusoft entre outros);
Requisitos técnicos:
Conhecimento em programação de CLPs e IHMs;

Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa LONGHI ENGENHARIA E AUTOMACAO LTDA
3,7
58 %
Recomendam para outras pessoas
Oportunidades de carreira
2,7
Remuneração e benefícios
3,2
Cultura e valores
3,2
Alta liderança
3,2
Qualidade de vida
3,3",NF, programador automacao industrial , programador ,Outros,desenvolvimento de software,programador,False,False,False,True,False,False,False,False,False,True,False,False,Indefinido,,
Caxias do Sul,"Empresa sediada em Caxias do Sul, está em busca:
Objetivos:
Programar Controladores Lógico Programáveis (CLPs) (Siemens, Schneider, Weg, Rockwell entre outros);
Programar Interface Homem Máquina (IHMs) (Siemens, Schneider, Weg, Rockwell entre outros);
Desenvolver Sistemas de Supervisão (Elipse E3, FactoryTalk View, Indusoft entre outros);
Requisitos técnicos:
Conhecimento em programação de CLPs e IHMs;

Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa LONGHI ENGENHARIA E AUTOMACAO LTDA
3,7
58 %
Recomendam para outras pessoas
Oportunidades de carreira
2,7
Remuneração e benefícios
3,2
Cultura e valores
3,2
Alta liderança
3,2
Qualidade de vida
3,3",NF, programador automacao industrial , programador ,Outros,automacao,programador,False,False,False,True,False,False,False,False,False,True,False,False,Desenvolvedor de automação,,
Caxias do Sul,"Empresa sediada em Caxias do Sul, está em busca:
Objetivos:
Programar Controladores Lógico Programáveis (CLPs) (Siemens, Schneider, Weg, Rockwell entre outros);
Programar Interface Homem Máquina (IHMs) (Siemens, Schneider, Weg, Rockwell entre outros);
Desenvolver Sistemas de Supervisão (Elipse E3, FactoryTalk View, Indusoft entre outros);
Requisitos técnicos:
Conhecimento em programação de CLPs e IHMs;

Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa LONGHI ENGENHARIA E AUTOMACAO LTDA
3,7
58 %
Recomendam para outras pessoas
Oportunidades de carreira
2,7
Remuneração e benefícios
3,2
Cultura e valores
3,2
Alta liderança
3,2
Qualidade de vida
3,3",NF, programador automacao industrial , programador ,Outros,desenvolvimento de software,programador,False,False,False,True,False,False,False,False,False,True,False,False,Indefinido,,
Caxias do Sul,"Empresa sediada em Caxias do Sul, está em busca:
Objetivos:
Programar Controladores Lógico Programáveis (CLPs) (Siemens, Schneider, Weg, Rockwell entre outros);
Programar Interface Homem Máquina (IHMs) (Siemens, Schneider, Weg, Rockwell entre outros);
Desenvolver Sistemas de Supervisão (Elipse E3, FactoryTalk View, Indusoft entre outros);
Requisitos técnicos:
Conhecimento em programação de CLPs e IHMs;

Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa LONGHI ENGENHARIA E AUTOMACAO LTDA
3,7
58 %
Recomendam para outras pessoas
Oportunidades de carreira
2,7
Remuneração e benefícios
3,2
Cultura e valores
3,2
Alta liderança
3,2
Qualidade de vida
3,3",NF, programador automacao industrial , programador ,Outros,automacao,programador,False,False,False,True,False,False,False,False,False,True,False,False,Desenvolvedor de automação,,
RS,"Hi there!
We are Semrush, a global IT company developing our own product—a platform for digital marketers. New stars are born here, so don’t miss your chance.
This is our Python Developer role for those who strive to implement functional processes and drive them to full completion.
Tasks in the role
Help to minimize the time required for duty through automation.
Automate process of Patch Management; network perimeter scanning.
Drive Policy as Code approach to validate our infrastructure from a security point of view.
Automate reactions on alerts where possible.




Mostrar mais
Visão geral da empresa
Tamanho
1.001 a 5.000 funcionários
Fundação
2008
Tipo
Empresa – capital aberto
Indústria
Desenvolvimento de software
Setor
Tecnologia da informação
Receita
Desconhecido/Não se aplica
Classificações da empresa Semrush
3,8
68 %
Recomendam para outras pessoas
Oportunidades de carreira
3,6
Remuneração e benefícios
3,9
Cultura e valores
3,8
Alta liderança
3,4
Qualidade de vida
3,9
Avaliações da empresa Semrush
Prós
""good salary"" (em 9 avaliações)
""awesome benefits"" (em 8 avaliações)
""Semrush has plenty of talented engineers, great company culture and warm atmosphere."" (em 8 avaliações)
""Technological diversity"" (em 2 avaliações)
""Colleagues around you are an endless source of experience"" (em 6 avaliações)
Contras
""It lacks diversity, especially in the tech side."" (em 2 avaliações)",NF, python developer  ( infrastructure security team )  , developer ," security ,  python ,  infrastructure ",desenvolvimento de software,developer security python infrastructurir,False,True,False,False,False,True,True,True,True,False,False,False,Desenvolvedor,desenvolvedor,desenvolvimento de software
